sample,sex,type,nitrogen,AddN,dummy1,dummy2,dummy3,Harvest,Days,S,A,E,H,D`,Insect%,Nonins%,DipChi,EphLep,Ostracod,PleNem,TriHyd,TriLep,DipChi%,EphLep%,Ostracod%,PleNem%,TriLep%,CG,FI,PH,PR,SC,SH,CG%,FI%,PH%,PR%,SC%,SH%,EPT%,ASEPT,plot,C,N,Cnmolar,CT,Brich,Bshan,Bsimp,Frich,Fshan,Fsimp,k
1399,Male,Non-Herbivore,8,yes,5,2,3,1,6,8,72,0.773,1.607,0.7488,0.916666667,0.083333333,6,1,6,8,26,0,0.083333333,0.013888889,0.083333333,0.111111111,0,13,0,48,0,0,11,0.180555556,0,0.666666667,0,0,0.152777778,0.833333333,1.150261992,E-7,44.905,0.82,66.61819537,16.02934745,NA,NA,NA,NA,NA,NA,0.012562
2004,Female,Non-Herbivore,16,yes,6,6,4,1,6,9,30,0.892,1.96,0.8378,0.833333333,0.166666667,7,1,5,5,2,0,0.233333333,0.033333333,0.166666667,0.166666667,0,14,0,4,1,0,11,0.466666667,0,0.133333333,0.033333333,0,0.366666667,0.566666667,0.852263958,E-9,46.995,1.03,54.81914084,9.538657131,NA,NA,NA,NA,NA,NA,0.014216
1054,Male,Herbivore,16,yes,3,3,1,2,21,6,77,0.836,1.497,0.7347,0.74025974,0.25974026,16,0,17,0,31,0,0.207792208,0,0.220779221,0,0,33,0,38,0,3,3,0.428571429,0,0.493506494,0,0.038961039,0.038961039,0.532467532,0.817888556,E-6,46.325,1.245,49.39171034,11.34493471,272,90.80089744,33.18165224,56,29.46108783,19.56475973,0.00691
1059,Male,Herbivore,16,yes,3,3,1,2,21,3,4,0.946,1.04,0.625,1,0,2,1,0,0,0,1,0.5,0.25,0,0,0.25,3,0,0,0,0,1,0.75,0,0,0,0,0.25,0.5,0.785398163,E-6,46.325,1.245,49.39171034,11.34493471,57,28.91279051,16.67309139,62,9.452442624,3.312954372,0.005919
1060,Male,Herbivore,16,yes,3,3,1,2,21,8,74,0.762,1.584,0.7579,0.891891892,0.108108108,24,1,7,0,17,0,0.324324324,0.013513514,0.094594595,0,0,32,0,37,1,1,3,0.432432432,0,0.5,0.013513514,0.013513514,0.040540541,0.554054054,0.839558067,E-6,46.325,1.245,49.39171034,11.34493471,NA,NA,NA,NA,NA,NA,0.005778
1089,Female,Non-Herbivore,0,no,4,4,4,2,21,5,18,0.928,1.494,0.7593,0.444444444,0.555555556,4,0,4,3,0,0,0.222222222,0,0.222222222,0.166666667,0,8,0,0,0,6,4,0.444444444,0,0,0,0.333333333,0.222222222,0.222222222,0.490882678,E-1,45.69,0.86,62.27472509,10.09364712,172,81.48354268,42.60512702,82,31.37149256,18.88611646,0.005547
1094,Female,Non-Herbivore,0,no,4,4,4,2,21,6,7,0.976,1.748,0.8163,0.571428571,0.428571429,1,1,2,0,0,0,0.142857143,0.142857143,0.285714286,0,0,4,0,1,0,1,0,0.571428571,0,0.142857143,0,0.142857143,0,0.428571429,0.713724379,E-1,45.69,0.86,62.27472509,10.09364712,NA,NA,NA,NA,NA,NA,0.00496
1100,Female,Herbivore,0,no,1,4,2,2,21,4,10,0.88,1.221,0.66,1,0,5,0,0,1,2,0,0.5,0,0,0.1,0,7,0,2,0,0,1,0.7,0,0.2,0,0,0.1,0.5,0.785398163,E-10,45.425,0.995,53.41049005,11.86974768,176,90.006616,53.49980053,74,28.29838432,16.41285853,0.00704
1104,Female,Herbivore,0,no,1,4,2,2,21,8,145,0.51,1.061,0.494,0.965517241,0.034482759,6,0,4,10,100,0,0.04137931,0,0.027586207,0.068965517,0,11,0,122,1,0,11,0.075862069,0,0.84137931,0.006896552,0,0.075862069,0.924137931,1.291758627,E-10,45.425,0.995,53.41049005,11.86974768,229,88.85539078,36.23055291,19,10.4717017,6.213051354,0.006019
1108,Female,Herbivore,0,no,1,4,2,2,21,4,14,0.845,1.171,0.6429,1,0,4,7,0,2,1,0,0.285714286,0.5,0,0.142857143,0,11,0,1,0,0,2,0.785714286,0,0.071428571,0,0,0.142857143,0.714285714,1.006853685,E-10,45.425,0.995,53.41049005,11.86974768,NA,NA,NA,NA,NA,NA,0.006397
1120,Male,Non-Herbivore,16,yes,6,3,3,2,21,3,9,0.878,0.965,0.5926,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0.888888889,0.111111111,0,0,0.888888889,1.230959417,E-15,46.785,1.005,62.12560555,19.52644708,88,38.17180041,19.40069034,60,13.84985984,6.961513916,0.006011
1128,Male,Non-Herbivore,16,yes,6,3,3,2,21,6,85,0.796,1.426,0.7294,0.905882353,0.094117647,31,0,8,0,22,1,0.364705882,0,0.094117647,0,0.011764706,39,0,43,0,0,3,0.458823529,0,0.505882353,0,0,0.035294118,0.541176471,0.82662132,E-15,46.785,1.005,62.12560555,19.52644708,129,40.10263317,14.2747518,56,19.13915276,10.04084897,0.003937
1132,Male,Non-Herbivore,8,yes,5,2,3,2,21,9,179,0.582,1.279,0.5736,0.977653631,0.022346369,20,5,3,3,112,0,0.111731844,0.027932961,0.016759777,0.016759777,0,28,0,137,5,1,3,0.156424581,0,0.765363128,0.027932961,0.005586592,0.016759777,0.837988827,1.156543447,E-7,44.905,0.82,66.61819537,16.02934745,NA,NA,NA,66,20.03392558,10.03701434,0.004457
1139,Male,Non-Herbivore,8,yes,5,2,3,2,21,8,119,0.666,1.386,0.6481,0.907563025,0.092436975,21,4,11,3,65,0,0.176470588,0.033613445,0.092436975,0.025210084,0,36,0,78,1,0,3,0.302521008,0,0.655462185,0.008403361,0,0.025210084,0.722689076,1.016196449,E-17,45.64,0.89,59.9644656,14.4096423,177,94.51542755,54.69783951,102,24.24362279,11.6192568,0.010578
1144,Female,Non-Herbivore,8,yes,5,5,4,2,21,8,92,0.796,1.655,0.7734,0.793478261,0.206521739,16,0,17,0,32,0,0.173913043,0,0.184782609,0,0,36,0,50,0,0,2,0.391304348,0,0.543478261,0,0,0.02173913,0.619565217,0.906133266,E-2,47.555,0.64,87.10492277,11.27436854,78,51.49013335,37.87697158,64,9.452170579,3.2515885,0.009422
1162,Female,Non-Herbivore,16,yes,6,6,4,2,21,6,71,0.762,1.366,0.7034,0.915492958,0.084507042,30,1,6,0,14,0,0.422535211,0.014084507,0.084507042,0,0,37,0,33,0,0,1,0.521126761,0,0.464788732,0,0,0.014084507,0.492957746,0.778355677,E-9,46.995,1.03,54.81914084,9.538657131,169,87.42380854,54.18421113,78,16.04543297,7.472221778,0.004814
1184,Female,Non-Herbivore,0,no,4,4,4,2,21,8,30,0.848,1.763,0.7756,0.866666667,0.133333333,3,0,1,2,12,0,0.1,0,0.033333333,0.066666667,0,5,0,15,0,3,2,0.166666667,0,0.5,0,0.1,0.066666667,0.766666667,1.066666286,E-11,44.425,0.67,77.6006552,14.07957503,222,104.2390996,50.50384394,93,32.58241962,15.5155969,0.00338
1187,Female,Non-Herbivore,0,no,4,4,4,2,21,7,15,0.863,1.679,0.7644,0.866666667,0.133333333,2,1,1,6,3,1,0.133333333,0.066666667,0.066666667,0.4,0.066666667,4,0,3,1,0,7,0.266666667,0,0.2,0.066666667,0,0.466666667,0.733333333,1.028157225,E-11,44.425,0.67,77.6006552,14.07957503,NA,NA,NA,NA,NA,NA,0.006115
1209,Male,Non-Herbivore,0,no,4,1,3,2,21,6,81,0.827,1.482,0.7453,0.802469136,0.197530864,24,1,16,0,27,0,0.296296296,0.012345679,0.197530864,0,0,41,0,37,0,0,3,0.50617284,0,0.456790123,0,0,0.037037037,0.50617284,0.79157116,E-14,45.26,0.79,66.86928009,14.60507574,306,136.1942956,75.69159851,76,15.43101934,5.23489145,0.009803
1216,Male,Non-Herbivore,0,no,4,1,3,2,21,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1.570796327,E-14,45.26,0.79,66.86928009,14.60507574,220,47.36392609,8.819781942,76,24.27148753,9.630810784,0.009459
1233,Female,Non-Herbivore,16,yes,6,6,4,2,21,6,22,0.703,1.26,0.6033,0.863636364,0.136363636,4,1,2,1,13,0,0.181818182,0.045454545,0.090909091,0.045454545,0,7,0,13,1,0,1,0.318181818,0,0.590909091,0.045454545,0,0.045454545,0.681818182,0.97148243,E-3,45.565,0.76,73.57219201,11.92735075,94,41.24675948,22.86743913,24,1.710061083,1.212098069,0.012215
1239,Female,Non-Herbivore,16,yes,6,6,4,2,21,7,13,0.914,1.778,0.8047,0.846153846,0.153846154,1,3,2,0,4,0,0.076923077,0.230769231,0.153846154,0,0,6,0,5,1,0,1,0.461538462,0,0.384615385,0.076923077,0,0.076923077,0.692307692,0.982793723,E-3,45.565,0.76,73.57219201,11.92735075,185,74.13254353,35.98399574,52,5.162206503,2.214131071,0.011143
1396,Male,Non-Herbivore,8,yes,5,2,3,2,21,7,109,0.698,1.358,0.7052,0.944954128,0.055045872,26,1,6,0,42,1,0.23853211,0.009174312,0.055045872,0,0.009174312,33,0,74,1,0,1,0.302752294,0,0.678899083,0.009174312,0,0.009174312,0.697247706,0.988157495,E-7,44.905,0.82,66.61819537,16.02934745,139,51.19008203,15.52841549,82,18.6586343,8.649273512,0.012562
2005,Female,Non-Herbivore,16,yes,6,6,4,2,21,9,178,0.693,1.523,0.7031,0.898876404,0.101123596,24,0,12,8,84,0,0.134831461,0,0.06741573,0.04494382,0,42,0,123,3,0,10,0.235955056,0,0.691011236,0.016853933,0,0.056179775,0.747191011,1.043960039,E-9,46.995,1.03,54.81914084,9.538657131,124,76.06614386,51.37148979,71,22.89584143,13.67067614,0.014216
1055,Male,Herbivore,16,yes,3,3,1,3,35,9,429,0.526,1.156,0.5405,0.923076923,0.076923077,81,0,29,9,277,0,0.188811189,0,0.067599068,0.020979021,0,113,0,290,3,1,22,0.263403263,0,0.675990676,0.006993007,0.002331002,0.051282051,0.727272727,1.021329082,E-6,46.325,1.245,49.39171034,11.34493471,NA,NA,NA,NA,NA,NA,0.00691
1057,Male,Herbivore,16,yes,3,3,1,3,35,10,278,0.671,1.545,0.7388,0.935251799,0.064748201,86,0,11,4,85,0,0.309352518,0,0.039568345,0.014388489,0,103,0,158,6,0,11,0.370503597,0,0.568345324,0.021582734,0,0.039568345,0.607913669,0.894167693,E-6,46.325,1.245,49.39171034,11.34493471,NA,NA,NA,NA,NA,NA,0.005919
1061,Male,Herbivore,16,yes,3,3,1,3,35,9,299,0.557,1.225,0.5641,0.949832776,0.050167224,47,2,13,5,189,0,0.157190635,0.006688963,0.043478261,0.016722408,0,62,0,210,0,2,25,0.20735786,0,0.702341137,0,0.006688963,0.08361204,0.79264214,1.098013473,E-6,46.325,1.245,49.39171034,11.34493471,NA,NA,NA,NA,NA,NA,0.005778
1092,Female,Non-Herbivore,0,no,4,4,4,3,35,3,25,0.746,0.82,0.5248,0.96,0.04,14,0,1,0,0,0,0.56,0,0.04,0,0,15,0,10,0,0,0,0.6,0,0.4,0,0,0,0.4,0.684719203,E-1,45.69,0.86,62.27472509,10.09364712,NA,NA,NA,NA,NA,NA,0.005547
1095,Female,Non-Herbivore,0,no,4,4,4,3,35,11,198,0.616,1.476,0.6592,0.919191919,0.080808081,46,0,9,7,104,0,0.232323232,0,0.045454545,0.035353535,0,58,0,120,3,3,7,0.292929293,0,0.606060606,0.015151515,0.015151515,0.035353535,0.676767677,0.966072084,E-1,45.69,0.86,62.27472509,10.09364712,NA,NA,NA,NA,NA,NA,0.00496
1099,Female,Herbivore,0,no,1,4,2,3,35,8,32,0.782,1.626,0.7344,0.8125,0.1875,7,0,4,2,14,0,0.21875,0,0.125,0.0625,0,12,0,17,0,1,2,0.375,0,0.53125,0,0.03125,0.0625,0.59375,0.879706356,E-10,45.425,0.995,53.41049005,11.86974768,NA,NA,NA,NA,NA,NA,0.00704
1103,Female,Herbivore,0,no,1,4,2,3,35,10,84,0.683,1.572,0.7222,0.964285714,0.035714286,33,1,2,0,27,0,0.392857143,0.011904762,0.023809524,0,0,38,0,37,3,0,6,0.452380952,0,0.44047619,0.035714286,0,0.071428571,0.535714286,0.821142888,E-10,45.425,0.995,53.41049005,11.86974768,NA,NA,NA,NA,NA,NA,0.006019
1106,Female,Herbivore,0,no,1,4,2,3,35,9,54,0.834,1.831,0.7791,0.759259259,0.240740741,8,1,5,2,22,0,0.148148148,0.018518519,0.092592593,0.037037037,0,18,0,25,0,4,7,0.333333333,0,0.462962963,0,0.074074074,0.12962963,0.611111111,0.89744471,E-10,45.425,0.995,53.41049005,11.86974768,NA,NA,NA,NA,NA,NA,0.006397
1119,Male,Non-Herbivore,16,yes,6,3,3,3,35,9,144,0.655,1.439,0.7048,0.923611111,0.076388889,38,1,5,0,61,0,0.263888889,0.006944444,0.034722222,0,0,49,0,91,1,1,2,0.340277778,0,0.631944444,0.006944444,0.006944444,0.013888889,0.652777778,0.940659081,E-15,46.785,1.005,62.12560555,19.52644708,NA,NA,NA,NA,NA,NA,0.006011
1127,Male,Non-Herbivore,16,yes,6,3,3,3,35,8,41,0.741,1.54,0.7186,0.829268293,0.170731707,18,0,6,3,10,0,0.43902439,0,0.146341463,0.073170732,0,24,1,11,2,0,3,0.585365854,0.024390244,0.268292683,0.048780488,0,0.073170732,0.341463415,0.624077253,E-15,46.785,1.005,62.12560555,19.52644708,NA,NA,NA,NA,NA,NA,0.003937
1129,Male,Non-Herbivore,8,yes,5,2,3,3,35,4,4,1,1.386,0.75,1,0,1,1,0,1,1,0,0.25,0.25,0,0.25,0,2,0,1,0,0,1,0.5,0,0.25,0,0,0.25,0.75,1.047197551,E-7,44.905,0.82,66.61819537,16.02934745,NA,NA,NA,NA,NA,NA,0.004457
1136,Male,Non-Herbivore,8,yes,5,2,3,3,35,15,138,0.693,1.877,0.7296,0.782608696,0.217391304,18,2,9,4,67,0,0.130434783,0.014492754,0.065217391,0.028985507,0,32,2,71,15,6,12,0.231884058,0.014492754,0.514492754,0.108695652,0.043478261,0.086956522,0.615942029,0.902405207,E-17,45.64,0.89,59.9644656,14.4096423,NA,NA,NA,NA,NA,NA,0.010578
1140,Male,Non-Herbivore,8,yes,5,2,3,3,35,2,5,0.722,0.5,0.32,1,0,0,4,0,0,0,0,0,0.8,0,0,0,4,0,0,0,0,1,0.8,0,0,0,0,0.2,1,1.570796327,E-17,45.64,0.89,59.9644656,14.4096423,NA,NA,NA,NA,NA,NA,0.006854
1147,Female,Non-Herbivore,8,yes,5,5,4,3,35,11,164,0.627,1.504,0.713,0.932926829,0.067073171,68,1,6,1,33,0,0.414634146,0.006097561,0.036585366,0.006097561,0,79,0,77,4,0,4,0.481707317,0,0.469512195,0.024390244,0,0.024390244,0.5,0.785398163,E-2,47.555,0.64,87.10492277,11.27436854,NA,NA,NA,NA,NA,NA,0.009422
1149,Female,Non-Herbivore,8,yes,5,5,4,3,35,12,171,0.642,1.595,0.7052,0.842105263,0.157894737,24,3,25,2,83,0,0.140350877,0.01754386,0.14619883,0.011695906,0,53,0,105,3,1,9,0.30994152,0,0.614035088,0.01754386,0.005847953,0.052631579,0.684210526,0.97405318,E-2,47.555,0.64,87.10492277,11.27436854,NA,NA,NA,NA,NA,NA,0.007779
1161,Female,Non-Herbivore,16,yes,6,6,4,3,35,4,17,0.76,1.053,0.6021,0.941176471,0.058823529,8,0,0,0,7,0,0.470588235,0,0,0,0,8,0,7,2,0,0,0.470588235,0,0.411764706,0.117647059,0,0,0.411764706,0.696698361,E-9,46.995,1.03,54.81914084,9.538657131,NA,NA,NA,NA,NA,NA,0.004814
1185,Female,Non-Herbivore,0,no,4,4,4,3,35,12,97,0.701,1.742,0.7463,0.896907216,0.103092784,12,0,6,3,42,0,0.12371134,0,0.06185567,0.030927835,0,19,0,61,2,3,12,0.195876289,0,0.628865979,0.020618557,0.030927835,0.12371134,0.762886598,1.062210079,E-11,44.425,0.67,77.6006552,14.07957503,NA,NA,NA,NA,NA,NA,0.00338
1188,Female,Non-Herbivore,0,no,4,4,4,3,35,9,80,0.717,1.575,0.7403,0.925,0.075,26,0,2,0,15,0,0.325,0,0.025,0,0,31,0,42,1,1,4,0.3875,0,0.525,0.0125,0.0125,0.05,0.5875,0.873351047,E-11,44.425,0.67,77.6006552,14.07957503,NA,NA,NA,NA,NA,NA,0.006115
1212,Male,Non-Herbivore,0,no,4,1,3,3,35,6,12,0.936,1.676,0.7917,0.666666667,0.333333333,2,0,2,0,4,0,0.166666667,0,0.166666667,0,0,6,0,4,1,0,1,0.5,0,0.333333333,0.083333333,0,0.083333333,0.416666667,0.701674124,E-14,45.26,0.79,66.86928009,14.60507574,NA,NA,NA,NA,NA,NA,0.009803
1213,Male,Non-Herbivore,0,no,4,1,3,3,35,7,198,0.706,1.373,0.7034,0.797979798,0.202020202,26,2,40,0,88,0,0.131313131,0.01010101,0.202020202,0,0,68,0,128,2,0,0,0.343434343,0,0.646464646,0.01010101,0,0,0.656565657,0.944642351,E-14,45.26,0.79,66.86928009,14.60507574,NA,NA,NA,NA,NA,NA,0.009459
1235,Female,Non-Herbivore,16,yes,6,6,4,3,35,6,10,0.946,1.696,0.8,1,0,0,2,0,2,3,0,0,0.2,0,0.2,0,2,0,4,0,0,4,0.2,0,0.4,0,0,0.4,1,1.570796327,E-3,45.565,0.76,73.57219201,11.92735075,NA,NA,NA,NA,NA,NA,0.012215
1240,Female,Non-Herbivore,16,yes,6,6,4,3,35,10,91,0.749,1.725,0.7784,0.846153846,0.153846154,27,0,9,0,18,0,0.296703297,0,0.098901099,0,0,39,0,44,5,0,3,0.428571429,0,0.483516484,0.054945055,0,0.032967033,0.516483516,0.801884667,E-3,45.565,0.76,73.57219201,11.92735075,NA,NA,NA,NA,NA,NA,0.011143
1395,Male,Non-Herbivore,8,yes,5,2,3,3,35,9,113,0.822,1.807,0.8178,0.85840708,0.14159292,23,5,16,1,23,0,0.203539823,0.044247788,0.14159292,0.008849558,0,44,0,50,1,0,18,0.389380531,0,0.442477876,0.008849558,0,0.159292035,0.654867257,0.942855064,E-7,44.905,0.82,66.61819537,16.02934745,NA,NA,NA,NA,NA,NA,0.012562
2008,Female,Non-Herbivore,16,yes,6,6,4,3,35,3,12,0.75,0.824,0.4861,0.916666667,0.083333333,8,0,1,0,3,0,0.666666667,0,0.083333333,0,0,9,0,3,0,0,0,0.75,0,0.25,0,0,0,0.25,0.523598776,E-9,46.995,1.03,54.81914084,9.538657131,NA,NA,NA,NA,NA,NA,0.014216
